location,t,bps,retransmits,snd_cwnd,snd_wnd,rtt,rttvar,phase,S_selected,best_action,random_action,reward_random,best_action_reward_based,best_gain_reward_based,reward_best
21,1.001077,5237239.200456604,0,81088,153600,260704,2909,3,1.0,11,10,1.0,11,1.0,1.0
21,2.00071,54545969.5961735,0,973056,1771520,261351,1421,3,1.0,11,11,1.0,11,1.0,1.0
21,3.000072,154239077.7836888,0,10392296,11843072,279341,2574,3,1.0,11,5,0.975,11,1.0,1.0
21,4.00109,204264369.20375347,1,22762560,11837440,287260,6980,1,1.15,3,3,0.7383014866273873,1,1.05,0.7483014866273873
21,5.000568,99666747.78441286,3754,22416488,8476160,277376,2535,3,1.0,11,3,0.07897421311256432,11,1.0,0.08898854905413134
21,6.00042,132140132.51933226,1,16032256,11811328,288596,1089,3,1.0,11,8,0.6889207318982231,11,1.0,0.6889207318982231
21,7.000069,127971191.39223461,2369,16032256,11862016,263028,3333,3,1.0,11,11,0.37103122816925393,11,1.0,0.37103122816925393
21,8.000404,94340238.08594924,3058,16067008,11823616,275989,6453,2,0.9,6,2,0.14867028326813228,6,0.9,0.15424378715518178
21,9.000608,156205963.12357038,1,11295848,11857920,309246,3610,3,1.0,11,8,0.844025621655261,11,1.0,0.844025621655261
21,10.001082,242106303.38999858,305,22921840,6604288,318318,5083,3,1.0,11,11,0.9558074082263336,11,1.0,0.9558074082263336
21,11.000512,122753361.31995766,306,11330600,11859456,264302,3077,3,1.0,11,4,0.49421908406923776,11,1.0,0.5052192118873731
21,12.000266,180399448.1660207,0,11330600,11833344,293258,1128,3,1.0,11,11,0.8152054192990303,11,1.0,0.8152054192990303
21,13.001071,177066801.6245105,3,4931888,6913536,293713,3375,3,1.0,11,11,0.8065964886036766,11,1.0,0.8065964886036766
21,14.000964,83895055.960341,993,15505184,8702976,316104,3811,3,1.0,11,7,0.23974453057458386,11,1.0,0.23974453057458386
21,15.001085,154122023.63140464,63,8635872,11844608,338827,3964,3,1.0,11,5,0.6801571740112532,11,1.0,0.7051571740112532
21,16.001085,126877696.0,2238,7318192,11847168,315659,6039,3,1.0,11,11,0.29394134291650986,11,1.0,0.29394134291650986
21,17.000752,80767248.3942992,2208,4229608,9164800,264998,3089,3,1.0,11,2,0.07834987784234865,11,1.0,0.08216266156398733
21,18.001052,47171766.121868044,991,2972744,11808768,316059,7911,3,1.0,11,11,0.07298620397509728,11,1.0,0.07298620397509728
