location,t,bps,retransmits,snd_cwnd,snd_wnd,rtt,rttvar,phase,S_selected,expected_action,action
21,68.000202,59822374.421717435,2,4454048,11845632,275457,2253,3,1.0,11,11
21,69.000532,72327877.87513657,2,4454048,11852800,278766,2222,3,1.0,11,11
21,70.000723,171933629.270556,2,4480112,11853824,303212,2230,1,1.2,4,4
21,71.000887,65001049.748950176,1,3816928,11808768,301675,1388,3,1.0,11,11
21,72.001077,51370462.604856476,5,3814032,6943232,272458,2849,2,0.9,6,6
21,73.000633,108051302.23782167,1,4481560,11820032,267839,2067,3,1.0,11,4
21,74.001053,137305791.09278062,0,4493144,11853824,269177,2407,3,1.0,11,11
21,75.00017,137484852.8163503,0,4627808,11853824,268079,2213,3,1.0,11,4
21,76.000237,134208736.60238427,0,6376992,11855360,271809,813,3,1.0,11,1
21,77.000314,140498364.3332139,1,15916416,11833344,272448,3537,3,1.0,11,11
21,78.000771,154070254.4342369,3,9581416,6709248,275298,2096,3,1.0,11,3
21,79.000339,135324766.2565405,0,9581416,11859456,285426,1698,3,1.0,11,2
21,80.000097,221303090.2098434,1,9692912,7443456,291385,3754,1,1.1,2,11
21,81.000521,146738418.88346094,2,13554728,9598464,292893,12109,3,1.0,11,11
21,82.000545,0.0,4256,9529288,9769984,309072,995,2,0.9,6,10
21,83.000786,121605504.0653834,467,6699896,11849728,270046,1997,3,1.0,11,3
21,84.001094,89101513.45454615,0,15916416,11851264,282515,2636,3,1.0,11,7
21,85.000162,129095161.87991633,3,15916416,11853824,322303,2378,3,1.0,11,2
21,86.000451,117406585.80342633,474,6552200,11853824,285105,6749,3,1.0,11,8
21,87.000125,168875785.757499,0,6550752,11848704,267805,2296,3,1.0,11,11
21,88.000194,227525287.70894438,0,4578576,11812864,268399,2812,3,1.0,11,3
21,89.000336,135247101.85128772,0,6552200,11857920,268417,2515,3,1.0,11,10
21,90.000857,181309195.95428273,0,6552200,11811328,273822,1512,3,1.0,11,2
21,91.000878,186642612.08215922,1,7693224,11857920,272021,3002,3,1.0,11,9
21,92.000218,182572722.4042157,0,7700464,11815424,288036,750,3,1.0,11,11
21,93.000173,114299927.66897285,343,4455496,11853824,275229,3446,3,1.0,11,8
21,94.00106,200100519.57078,0,3447688,11859456,270928,5238,1,1.15,3,8
21,95.000383,116470785.50529152,1,4454048,11835904,267552,1045,3,1.0,11,11
21,96.00011,93348747.20664206,1,4452600,11832320,269185,1388,2,0.9,6,6
21,97.001062,141423124.42379373,2,4850800,11849728,288364,4384,3,1.0,11,1
21,98.000075,121754987.35832706,1,5231624,11822592,335186,1837,3,1.0,11,11
21,99.0005,126823798.28051305,3,5247552,11826688,271362,1446,3,1.0,11,4
21,100.00054,89125390.1429882,540,2981432,11843072,268059,2248,3,1.0,11,11
21,101.000834,90151034.29071034,1,2981432,11856896,267731,1831,3,1.0,11,1
21,102.001066,44029977.86948705,0,3499816,11838976,448163,1091,3,1.0,11,6
21,103.000139,106004439.08707489,14,3507056,11856896,267753,1259,3,1.0,11,6
21,104.000762,91169314.63406305,1,3595384,11831808,268449,2084,3,1.0,11,11
21,105.001043,133131745.13544223,0,1796968,11851264,269010,1647,1,1.25,5,3
21,106.000495,45113490.423014,0,3837200,11856896,266595,1303,2,0.9,6,6
21,107.000233,98591977.26888525,1,3837200,11821056,287080,3288,3,1.0,11,6
21,108.00109,113149239.60148917,1,3837200,11855360,291940,9262,3,1.0,11,11
21,109.000317,90247298.3021412,0,4510520,11847168,280075,1192,3,1.0,11,11
21,110.00107,137260092.9620274,0,4585816,11857920,266509,3148,3,1.0,11,11
21,111.000837,89149731.40212363,2,5513984,11843072,281306,2546,3,1.0,11,11
21,112.000293,130094196.75119711,807,1637688,11807232,270903,2794,3,1.0,11,11
21,113.000429,89116838.5237365,0,4096392,11804672,277863,2819,3,1.0,11,9
21,114.000779,90145985.0427869,0,4096392,11856896,269919,2827,3,1.0,11,1
21,115.00035,133226302.70370188,0,4810256,11847168,267072,1329,3,1.0,11,8
21,116.001085,133071338.647165,0,4814600,11816960,277193,5223,3,1.0,11,8
21,117.000788,136355378.90357712,0,4868176,11843072,278117,2141,3,1.0,11,11
21,118.000661,112211884.87286425,1,5493712,11845632,277226,1912,3,1.0,11,3
21,119.000277,180424350.10092866,0,11793960,11853824,283826,1759,1,1.15,3,11
21,120.001085,137252555.85737786,1,14314928,11852800,286578,2437,3,1.0,11,11
21,121.001083,199229843.75081822,2,9291816,11859456,276941,3179,3,1.0,11,6
21,122.001088,93322796.7523394,877,7602000,8182272,284255,5151,2,0.9,6,6
21,123.00105,142611759.2062324,0,16809832,11826688,314536,1456,3,1.0,11,3
21,124.000507,190944514.54944953,2846,9022488,11845632,278128,1031,3,1.0,11,11
21,125.000817,224325735.54993656,1,9022488,11837440,276897,3280,3,1.0,11,3
21,126.00012,172086411.10513732,0,9008008,11803136,274445,4156,3,1.0,11,11
21,127.000375,186598947.38251838,506,8001648,11815424,272339,5613,3,1.0,11,11
21,128.000303,183514013.45140037,0,8001648,11845632,273189,4556,3,1.0,11,10
21,129.000133,189824524.7354413,2,8816872,11849728,270064,2746,3,1.0,11,11
21,130.000422,220137348.38142437,0,9396072,11827712,279402,6360,3,1.0,11,11
21,131.0008,229551370.6764146,0,9414896,11853824,273488,1895,3,1.0,11,11
21,132.000132,274910549.2927382,0,9611824,11834880,274135,1109,1,1.05,1,11
21,133.000652,228470765.27633768,0,8478040,11857920,278322,2331,3,1.0,11,7
21,134.001097,120532601.99435653,3,8476592,11849728,270518,2692,2,0.9,6,6
21,135.000591,208772259.3872978,0,8473696,11857920,265308,1525,3,1.0,11,11
21,136.001094,228474658.04327244,1,9959344,11852800,272826,4668,3,1.0,11,7
21,137.00006,224627533.671806,0,9978168,11806208,274050,1725,3,1.0,11,6
21,138.000086,277865418.93765825,0,10243152,11853824,277492,1343,3,1.0,11,11
