dataset_flag,location,t,bps,retransmits,snd_cwnd,snd_wnd,rtt,rttvar,phase,S_selected,best_action,random_action,reward_random,best_action_reward_based,best_gain_reward_based,reward_best
1,21,41.000783,213879137.81133875,2,7383352,11821056,272496,3226,3,1.0,11,3,0.9826365535868483,11,1.0,0.9976075516999976
1,21,42.000271,138482935.80302358,2,7465888,11853824,293586,1256,3,1.0,11,11,0.6457713356776019,11,1.0,0.6457713356776019
1,21,43.001092,136203058.05518794,1,8482384,11850240,276929,3282,2,0.9,6,6,0.6353617855651075,6,0.9,0.6353617855651075
1,21,44.000701,226581010.64107785,1,12464384,11857920,270834,2479,3,1.0,11,1,0.9947705053633413,11,1.0,0.9997705053633413
1,21,45.001055,323895308.3510958,0,12464384,11837440,278880,2885,3,1.0,11,11,1.0,11,1.0,1.0
1,21,46.001096,236968458.39849937,1,12464384,11852800,291217,4711,3,1.0,11,11,0.9817594157762558,11,1.0,0.9817594157762558
1,21,47.000937,213943526.41042036,1448,3973312,9394176,276614,2404,3,1.0,11,11,0.5958606661392433,11,1.0,0.5958606661392433
1,21,48.000133,131177467.6092017,1,6355272,11804672,277314,5274,3,1.0,11,11,0.5433652916013612,11,1.0,0.5433652916013612
1,21,49.001091,93233949.06066185,2,6355272,8949760,276534,2907,3,1.0,11,11,0.38589919819702895,11,1.0,0.38589919819702895
1,21,50.000565,183597374.23660982,0,7258824,11854336,278202,3767,3,1.0,11,11,0.7608210252948259,11,1.0,0.7608210252948259
1,21,51.000713,106938918.8442244,730,6356720,11843072,331809,2986,3,1.0,11,11,0.24620224087067902,11,1.0,0.24620224087067902
1,21,52.000525,114316274.66509567,1231,5095512,11859456,277162,11137,3,1.0,11,11,0.17084626761877664,11,1.0,0.17084626761877664
1,21,53.000656,91214161.94058934,0,6356720,11853824,296092,3778,3,1.0,11,11,0.37798826098466815,11,1.0,0.37798826098466815
1,21,54.001096,92234104.85664345,2,6353824,8365056,277521,3578,3,1.0,11,11,0.3815293503612925,11,1.0,0.3815293503612925
1,21,55.000955,211842226.9631044,1,7464440,11857920,268595,1611,1,1.15,3,3,0.8643559364204939,1,1.05,0.8731346033806813
1,21,56.000645,146846162.86225834,3,7464440,11845632,291024,5535,3,1.0,11,11,0.6074970290050287,11,1.0,0.6074970290050287
1,21,57.001083,96426759.49677764,2,7473128,11856896,342291,8346,3,1.0,11,11,0.39878447926559685,11,1.0,0.39878447926559685
1,21,58.00106,96471211.5510661,406,5648648,9975808,378975,4785,3,1.0,11,11,0.24201121528665576,11,1.0,0.24201121528665576
1,21,59.000176,137484992.2501181,302,5060760,11830784,272097,4619,3,1.0,11,2,0.44487669502608584,11,1.0,0.45057402447871636
1,21,60.001087,90095459.27168533,21,5648648,11857920,310498,14784,3,1.0,11,11,0.3649048761736674,11,1.0,0.3649048761736674
1,21,61.001076,80741242.32231747,390,5083928,11855360,470084,12088,3,1.0,11,6,0.18264609338622,11,1.0,0.18264609338622
1,21,62.001083,0.0,1909,3971864,11809280,434624,3115,2,0.9,6,2,-0.44045255471128486,6,0.9,-0.43045255471128485
1,21,63.001086,89128694.37579162,1392,4454048,11577344,394676,25649,3,1.0,11,9,0.0004492949999871376,11,1.0,0.0004492949999871376
1,21,64.001087,0.0,2760,1875160,11106304,310798,25364,3,1.0,11,3,-0.45912134781876957,11,1.0,-0.44412134781876955
1,21,65.000507,68196995.1299816,11,876040,11851264,345666,1683,3,1.0,11,11,0.3142387671283987,11,1.0,0.3142387671283987
1,21,66.001077,44015100.80345796,282,3793760,11859456,339703,3811,3,1.0,11,11,0.13595471698389097,11,1.0,0.13595471698389097
1,21,67.001097,53476305.02144866,588,3032112,7269376,328742,3129,3,1.0,11,8,0.1428661923483809,11,1.0,0.1428661923483809
1,21,68.000202,59822374.421717435,2,4454048,11845632,275457,2253,3,1.0,11,6,0.32283522686719446,11,1.0,0.32283522686719446
1,21,69.000532,72327877.87513657,2,4454048,11852800,278766,2222,3,1.0,11,11,0.39042902909644817,11,1.0,0.39042902909644817
1,21,70.000723,171933629.270556,2,4480112,11853824,303212,2230,1,1.2,4,4,0.9680151840847,1,1.05,0.9830151840847
1,21,71.000887,65001049.748950176,1,3816928,11808768,301675,1388,3,1.0,11,9,0.37346554461309217,11,1.0,0.37346554461309217
1,21,72.001077,51370462.604856476,5,3814032,6943232,272458,2849,2,0.9,6,1,0.29256973292620253,6,0.9,0.29407258673742137
1,21,73.000633,108051302.23782167,1,4481560,11820032,267839,2067,3,1.0,11,11,0.6209817026258891,11,1.0,0.6209817026258891
1,21,74.001053,137305791.09278062,0,4493144,11853824,269177,2407,3,1.0,11,7,0.7894355995467858,11,1.0,0.7894355995467858
1,21,75.00017,137484852.8163503,0,4627808,11853824,268079,2213,3,1.0,11,11,0.9283211010578036,11,1.0,0.9283211010578036
1,21,76.000237,134208736.60238427,0,6376992,11855360,271809,813,3,1.0,11,11,0.964091803788252,11,1.0,0.964091803788252
1,21,77.000314,140498364.3332139,1,15916416,11833344,272448,3537,3,1.0,11,11,0.988680633049284,11,1.0,0.988680633049284
1,21,78.000771,154070254.4342369,3,9581416,6709248,275298,2096,3,1.0,11,4,0.973583310117022,11,1.0,0.9934680353349463
1,21,79.000339,135324766.2565405,0,9581416,11859456,285426,1698,3,1.0,11,7,0.8732690817161349,11,1.0,0.8732690817161349
1,21,80.000097,221303090.2098434,1,9692912,7443456,291385,3754,1,1.1,2,2,0.989743924633795,1,1.05,0.994743924633795
1,21,81.000521,146738418.88346094,2,13554728,9598464,292893,12109,3,1.0,11,11,0.840867723460472,11,1.0,0.840867723460472
1,21,82.000545,0.0,4256,9529288,9769984,309072,995,2,0.9,6,5,-0.4776473548850773,6,0.9,-0.4526473548850773
1,21,83.000786,121605504.0653834,467,6699896,11849728,270046,1997,3,1.0,11,11,0.6156671360288348,11,1.0,0.6156671360288348
1,21,84.001094,89101513.45454615,0,15916416,11851264,282515,2636,3,1.0,11,11,0.5108970148325731,11,1.0,0.5108970148325731
1,21,85.000162,129095161.87991633,3,15916416,11853824,322303,2378,3,1.0,11,11,0.7382736398814265,11,1.0,0.7382736398814265
1,21,86.000451,117406585.80342633,474,6552200,11853824,285105,6749,3,1.0,11,11,0.39984152580645244,11,1.0,0.39984152580645244
1,21,87.000125,168875785.757499,0,6550752,11848704,267805,2296,3,1.0,11,5,0.9441049673460297,11,1.0,0.9683127870215689
1,21,88.000194,227525287.70894438,0,4578576,11812864,268399,2812,3,1.0,11,3,0.985,11,1.0,1.0
1,21,89.000336,135247101.85128772,0,6552200,11857920,268417,2515,3,1.0,11,11,0.6102817499940743,11,1.0,0.6102817499940743
1,21,90.000857,181309195.95428273,0,6552200,11811328,273822,1512,3,1.0,11,1,0.814039217277061,11,1.0,0.8181298666101116
1,21,91.000878,186642612.08215922,1,7693224,11857920,272021,3002,3,1.0,11,11,0.8414431886705342,11,1.0,0.8414431886705342
1,21,92.000218,182572722.4042157,0,7700464,11815424,288036,750,3,1.0,11,11,0.8238313354214489,11,1.0,0.8238313354214489
1,21,93.000173,114299927.66897285,343,4455496,11853824,275229,3446,3,1.0,11,11,0.2782682128863867,11,1.0,0.2782682128863867
1,21,94.00106,200100519.57078,0,3447688,11859456,270928,5238,1,1.15,3,3,0.8893789824920981,1,1.05,0.8984082107407488
1,21,95.000383,116470785.50529152,1,4454048,11835904,267552,1045,3,1.0,11,4,0.5142924814539767,11,1.0,0.5248036116487679
1,21,96.00011,93348747.20664206,1,4452600,11832320,269185,1388,2,0.9,6,2,0.4162567506556038,6,0.9,0.4204689693298098
1,21,97.001062,141423124.42379373,2,4850800,11849728,288364,4384,3,1.0,11,1,0.6331077315093246,11,1.0,0.6366443093907534
1,21,98.000075,121754987.35832706,1,5231624,11822592,335186,1837,3,1.0,11,11,0.5486477599525028,11,1.0,0.5486477599525028
1,21,99.0005,126823798.28051305,3,5247552,11826688,271362,1446,3,1.0,11,3,0.5614301139587371,11,1.0,0.5700142072771245
1,21,100.00054,89125390.1429882,540,2981432,11843072,268059,2248,3,1.0,11,11,0.12689963013938,11,1.0,0.12689963013938
1,21,101.000834,90151034.29071034,1,2981432,11856896,267731,1831,3,1.0,11,11,0.44677444301289876,11,1.0,0.44677444301289876
1,21,102.001066,44029977.86948705,0,3499816,11838976,448163,1091,3,1.0,11,11,0.21854168699100296,11,1.0,0.21854168699100296
1,21,103.000139,106004439.08707489,14,3507056,11856896,267753,1259,3,1.0,11,11,0.5115193773718747,11,1.0,0.5115193773718747
1,21,104.000762,91169314.63406305,1,3595384,11831808,268449,2084,3,1.0,11,9,0.4514712311080866,11,1.0,0.4514712311080866
1,21,105.001043,133131745.13544223,0,1796968,11851264,269010,1647,1,1.25,5,5,0.6442761646097867,1,1.05,0.6574920859351155
1,21,106.000495,45113490.423014,0,3837200,11856896,266595,1303,2,0.9,6,6,0.22391967428015414,6,0.9,0.22391967428015414
1,21,107.000233,98591977.26888525,1,3837200,11821056,287080,3288,3,1.0,11,1,0.48457336639306475,11,1.0,0.4879457734140541
1,21,108.00109,113149239.60148917,1,3837200,11855360,291940,9262,3,1.0,11,11,0.6026439548955875,11,1.0,0.6026439548955875
1,21,109.000317,90247298.3021412,0,4510520,11847168,280075,1192,3,1.0,11,11,0.48179298941949966,11,1.0,0.48179298941949966
1,21,110.00107,137260092.9620274,0,4585816,11857920,266509,3148,3,1.0,11,1,0.7291109761900936,11,1.0,0.7327748504423051
1,21,111.000837,89149731.40212363,2,5513984,11843072,281306,2546,3,1.0,11,10,0.48313833913669085,11,1.0,0.48313833913669085
1,21,112.000293,130094196.75119711,807,1637688,11807232,270903,2794,3,1.0,11,11,0.4527848545945106,11,1.0,0.4527848545945106
1,21,113.000429,89116838.5237365,0,4096392,11804672,277863,2819,3,1.0,11,8,0.6173364791172521,11,1.0,0.6173364791172521
