state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,actions,rewards,dones
4.0,26.0,1.001115,4189632.7083243183,0.0,57920.0,23552.0,162813.0,4131.0,11,1.0,0
4.0,26.0,2.001409,0.0,0.0,56472.0,23552.0,159162.0,3584.0,11,0.0,0
4.0,26.0,3.001332,1048656.756218972,1.0,39096.0,193536.0,160347.0,2993.0,7,0.0293038181752384,0
4.0,26.0,4.001304,5243026.8791147,0.0,95568.0,323584.0,161090.0,4671.0,11,1.0,0
4.0,26.0,5.000403,7346651.213804476,0.0,208512.0,410624.0,168666.0,4361.0,11,1.0,0
4.0,26.0,6.001292,5238223.51435345,6.0,83984.0,1391616.0,169313.0,7889.0,7,0.3783551137842398,0
4.0,26.0,7.001302,6291393.00063085,3.0,82536.0,1391616.0,165672.0,4719.0,11,0.6671023548384823,0
4.0,26.0,8.001304,5242869.375021532,5.0,75296.0,1390080.0,168103.0,5008.0,7,0.433282405591611,0
4.0,26.0,9.001366,0.0,0.0,75296.0,1391616.0,164390.0,2954.0,11,0.0,0
4.0,26.0,10.001125,6292972.490446262,2.0,72400.0,1391616.0,162939.0,3867.0,10,0.7675774814727379,0
4.0,26.0,11.001378,0.0,0.0,75296.0,1391616.0,161790.0,7246.0,2,-0.0051673099513341,0
4.0,26.0,12.00132,5243184.080135224,5.0,105704.0,1393152.0,167276.0,6373.0,11,0.4498322700333926,0
4.0,26.0,13.001267,6291789.392665987,2.0,315664.0,1391616.0,167286.0,2915.0,1,0.7810127989180387,0
4.0,26.0,14.001119,9438580.89423802,19.0,214304.0,1391616.0,170266.0,6761.0,3,0.5209143469562567,0
4.0,26.0,15.001134,9437042.252129106,21.0,194032.0,1938432.0,173303.0,14846.0,4,0.5951365074758168,0
4.0,26.0,16.001309,7338747.72474719,13.0,179552.0,1848832.0,194927.0,14558.0,11,0.4971713318308223,0
4.0,26.0,17.001315,8388558.00029802,15.0,162176.0,1944576.0,169987.0,5830.0,11,0.5757211789464499,0
4.0,26.0,18.001127,8390185.29652078,5.0,159280.0,1990144.0,172579.0,3694.0,11,0.768326350496974,0
4.0,26.0,19.001361,8386645.459249913,17.0,72400.0,1981440.0,175508.0,3737.0,11,0.545356176786318,0
4.0,26.0,20.000485,7346467.575124717,12.0,153488.0,1977344.0,161659.0,8353.0,11,0.5110040375022015,0
4.0,26.0,21.001117,0.0,6.0,153488.0,1989120.0,189474.0,8714.0,11,-0.1449730716349757,0
4.0,26.0,22.001302,8387056.287086777,19.0,112944.0,1990144.0,162339.0,5006.0,5,0.4976943865765852,0
4.0,26.0,23.001131,7341287.40218096,5.0,112944.0,1990144.0,169513.0,10015.0,11,0.6560415807847532,0
4.0,26.0,24.001112,0.0,7.0,108600.0,1990144.0,170643.0,4708.0,11,-0.1674151860386557,0
4.0,26.0,25.001125,8388499.001416307,3.0,111496.0,1988608.0,177021.0,13670.0,2,0.8048857829990352,0
4.0,26.0,26.001305,7338710.98779016,11.0,105704.0,1989120.0,158629.0,4254.0,7,0.5284098446836443,0
4.0,26.0,27.001286,0.0,1.0,130320.0,1988608.0,218126.0,49444.0,7,-0.0248551182579462,0
4.0,26.0,28.001315,8388365.007038985,9.0,97016.0,1985024.0,167954.0,3132.0,8,0.6788407617085211,0
4.0,26.0,29.00113,0.0,2.0,95568.0,1987584.0,156118.0,3465.0,9,-0.0495876999729056,0
4.0,26.0,30.001229,7339305.82185076,8.0,97016.0,1990144.0,160564.0,5193.0,3,0.5769181218527604,0
4.0,26.0,31.00111,0.0,1.0,97016.0,1990144.0,159695.0,4823.0,11,-0.0248551182579462,0
4.0,26.0,32.001284,8387148.254062303,2.0,95568.0,1990144.0,193277.0,7979.0,11,0.839152612650643,0
